2022-05-17 16:05:328 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 16:05:50 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 16:05:276 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 16:05:49 INFO  HomePage :28 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (e71e4b8b5e6e51a7ba1bccf5b280aac9)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 16:05:116 INFO  SignInPage :61 - Enter email[[ChromeDriver: chrome on WINDOWS (e71e4b8b5e6e51a7ba1bccf5b280aac9)] -> id: email]
2022-05-17 16:05:172 INFO  SignInPage :57 - Click on create account[[ChromeDriver: chrome on WINDOWS (e71e4b8b5e6e51a7ba1bccf5b280aac9)] -> xpath: //button[@name='SubmitCreate']]
2022-05-17 17:05:320 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 17:05:700 INFO  HomePage :28 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (c8e8e4a4296f4f73c84a4d187ba845dc)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 17:05:811 INFO  SignInPage :61 - Enter email[[ChromeDriver: chrome on WINDOWS (c8e8e4a4296f4f73c84a4d187ba845dc)] -> id: email]
2022-05-17 17:05:877 INFO  SignInPage :57 - Click on create account[[ChromeDriver: chrome on WINDOWS (c8e8e4a4296f4f73c84a4d187ba845dc)] -> xpath: //button[@name='SubmitCreate']]
2022-05-17 17:05:251 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 17:05:597 INFO  HomePage :28 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (3ad7f6be46f4d8e0932b1dfb72bba624)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 17:05:719 INFO  SignInPage :57 - Click on create account[[ChromeDriver: chrome on WINDOWS (3ad7f6be46f4d8e0932b1dfb72bba624)] -> xpath: //button[@name='SubmitCreate']]
2022-05-17 17:05:938 INFO  CreateAccountPage :71 - Enter first Name[[ChromeDriver: chrome on WINDOWS (3ad7f6be46f4d8e0932b1dfb72bba624)] -> id: customer_firstname]
